facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
IfkoxsHulal,Burkina Faso,Hauts Bassins,Kenedougou,DS Orodara
IFt31rXdtZF,Burkina Faso,Hauts Bassins,Tuy,DS Hounde
IFvVyaNRHGG,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
IgizAAgezai,Burkina Faso,Plateau Central,Oubritenga,DS Ziniaré
IgjvVB1ovsh,Burkina Faso,Plateau Central,Kourweogo,DS Boussé
IGkvibHqDRv,Burkina Faso,Nord,Yatenga,DS Ouahigouya
iGMaCmmZ7q7,Burkina Faso,Hauts Bassins,Houet,DS Do
igStBY8sgpu,Burkina Faso,Sud Ouest,Bougouriba,DS Diébougou
igUhCYU5jN6,Burkina Faso,Centre Ouest,Boulkiemdé,DS Koudougou
Ih2NEd1m0rb,Burkina Faso,Boucle du Mouhoun,Bale,DS Boromo
iH5cYaDyprv,Burkina Faso,Sud Ouest,Ioba,DS Dano
iH5wkRQCVIG,Burkina Faso,Plateau Central,Ganzourgou,DS Zorgho
iHA9E0mf8Px,Burkina Faso,Sahel,Yagha,DS Sebba
IhELglckJMT,Burkina Faso,Hauts Bassins,Houet,DS Karangasso Vigue
iHlLBCiJI88,Burkina Faso,Hauts Bassins,Tuy,DS Hounde
ihvmkyZ8Ms5,Burkina Faso,Centre,Kadiogo,DS Sig-Noghin
II5Agj5JLtO,Burkina Faso,Centre Ouest,Sissili,DS Léo
ii9j2mgxYUg,Burkina Faso,Hauts Bassins,Houet,DS Dafra
iiDgpLaSHdM,Burkina Faso,Centre Sud,Bazega,DS Kombissiri
iiFsjK6dyIo,Burkina Faso,Plateau Central,Oubritenga,DS Ziniaré
IIQv1sewqL2,Burkina Faso,Centre Nord,Bam,DS Kongoussi
iIstzhKMH5G,Burkina Faso,Hauts Bassins,Tuy,DS Hounde
IIymGYbHeJn,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
ij5m4h9xLOs,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
IJawPXi5MgF,Burkina Faso,Centre Sud,Bazega,DS Kombissiri
IjcDgFnCUgE,Burkina Faso,Boucle du Mouhoun,Sourou,DS Tougan
IJcizjwBzkq,Burkina Faso,Centre Ouest,Boulkiemdé,DS Koudougou
ijiIdBcRfql,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
IjyIGiyhfh6,Burkina Faso,Centre,Kadiogo,DS Bogodogo
ikAz8Ny42nP,Burkina Faso,Centre Est,Koulpélogo,DS Ouargaye
iKc7FYNrP08,Burkina Faso,Sahel,Seno,DS Dori
ikyOjl6cz1m,Burkina Faso,Est,Gourma,DS Fada
IKzfRsKWLOM,Burkina Faso,Centre,Kadiogo,DS Bogodogo
IKzS5zJ0b22,Burkina Faso,Centre Est,Koulpélogo,DS Ouargaye
Ile3iogoZum,Burkina Faso,Cascades,Comoé,DS Banfora
ilJkn0gX2CM,Burkina Faso,Hauts Bassins,Kenedougou,DS Orodara
ilsPayCeXcH,Burkina Faso,Centre,Kadiogo,DS Sig-Noghin
iLUxnKymIYt,Burkina Faso,Centre,Kadiogo,DS Sig-Noghin
ilVJZmM5PCs,Burkina Faso,Plateau Central,Ganzourgou,DS Zorgho
IlWbSLoY3bz,Burkina Faso,Centre Est,Koulpélogo,DS Ouargaye
iLZ2pKQwXx9,Burkina Faso,Centre Nord,Namentenga,DS Boulsa
iMDCZQjjhfB,Burkina Faso,Centre,Kadiogo,DS Bogodogo
iMnHpcz6wHS,Burkina Faso,Centre Nord,Sanmatenga,DS Kaya
iN3ToMZcWfa,Burkina Faso,Plateau Central,Ganzourgou,DS Zorgho
Inb8MRLL3AL,Burkina Faso,Hauts Bassins,Houet,DS Do
iNHRR08BXao,Burkina Faso,Est,Gnagna,DS Manni
InmX0kPeUfE,Burkina Faso,Sud Ouest,Ioba,DS Dano
inyl6Ri28eD,Burkina Faso,Centre,Kadiogo,DS Nongr-Massom
io4ZmMQvXwr,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
IOjhTTHWlNi,Burkina Faso,Centre Est,Boulgou,DS Tenkodogo
ioS3mksewTA,Burkina Faso,Nord,Zondoma,DS Gourcy
iOYjDd5drYY,Burkina Faso,Sahel,Seno,DS Dori
IP2lZ8cyCzU,Burkina Faso,Plateau Central,Oubritenga,DS Ziniaré
IphSw8LmJcA,Burkina Faso,Hauts Bassins,Kenedougou,DS Orodara
IpxGeK2pnA7,Burkina Faso,Hauts Bassins,Houet,DS Do
IrJ2NgqLEfb,Burkina Faso,Centre Ouest,Sanguié,DS Réo
irz4eoCznSy,Burkina Faso,Centre Nord,Namentenga,DS Boulsa
IS1q04JYDSs,Burkina Faso,Centre Est,Kouritenga,DS Koupéla
ISCDCdUH7uy,Burkina Faso,Boucle du Mouhoun,Bale,DS Boromo
iSN0h8jZxtZ,Burkina Faso,Boucle du Mouhoun,Bale,DS Boromo
iswiYRw6Lom,Burkina Faso,Centre Ouest,Boulkiemdé,DS Nanoro
IT2zpPMrkEk,Burkina Faso,Boucle du Mouhoun,Bale,DS Boromo
IT8EUNSEEUe,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
ItHv6b1C9on,Burkina Faso,Centre Ouest,Boulkiemdé,DS Koudougou
itiJbExCcFe,Burkina Faso,Hauts Bassins,Kenedougou,DS Orodara
itN0nVvWoWN,Burkina Faso,Centre,Kadiogo,DS Bogodogo
ItZeCiHwo3d,Burkina Faso,Sud Ouest,Bougouriba,DS Diébougou
ITzV03YFysZ,Burkina Faso,Centre,Kadiogo,DS Nongr-Massom
IUHlOUUDnI1,Burkina Faso,Centre Est,Boulgou,DS Garango
IUwIAE8mAdQ,Burkina Faso,Centre Ouest,Sanguié,DS Réo
IUyx0BpEopV,Burkina Faso,Nord,Passoré,DS Yako
IV0ipby1fxS,Burkina Faso,Plateau Central,Oubritenga,DS Ziniaré
IV2za1OSlxV,Burkina Faso,Boucle du Mouhoun,Kossi,DS Nouna
iv416dldlyv,Burkina Faso,Centre Ouest,Boulkiemdé,DS Koudougou
IvBWUWYl0Vm,Burkina Faso,Centre Nord,Namentenga,DS Boulsa
iVd5rbOwBHC,Burkina Faso,Centre Nord,Sanmatenga,DS Barsalogho
IVKzP0kTHgw,Burkina Faso,Sahel,Seno,DS Dori
iVLHjZUMiTF,Burkina Faso,Hauts Bassins,Tuy,DS Hounde
IvXivqLs4Sp,Burkina Faso,Cascades,Comoé,DS Banfora
IWdn7M8WUFB,Burkina Faso,Centre Ouest,Ziro,DS Sapouy
iwgylF9lYvu,Burkina Faso,Plateau Central,Ganzourgou,DS Zorgho
iwmiSpMDDsc,Burkina Faso,Centre,Kadiogo,DS Bogodogo
iX8QskIFPiU,Burkina Faso,Est,Tapoa,DS Diapaga
iXKL7QQKakZ,Burkina Faso,Centre,Kadiogo,DS Bogodogo
iXLIIE60byk,Burkina Faso,Centre,Kadiogo,DS Baskuy
IXMmTgbT1QT,Burkina Faso,Boucle du Mouhoun,Bale,DS Boromo
ixtPxa3z1oL,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
iXYjOqqOeUZ,Burkina Faso,Centre Ouest,Boulkiemdé,DS Koudougou
iy8HeIlccxi,Burkina Faso,Cascades,Comoé,DS Banfora
iyHNPTt0aQ6,Burkina Faso,Plateau Central,Oubritenga,DS Ziniaré
iyXfzxXPBK9,Burkina Faso,Centre,Kadiogo,DS Baskuy
IYz4WpCaIYd,Burkina Faso,Centre Est,Kouritenga,DS Koupéla
iZ3o43di9eU,Burkina Faso,Centre,Kadiogo,DS Sig-Noghin
Ize8xlE9AdQ,Burkina Faso,Centre Ouest,Boulkiemdé,DS Nanoro
IZFKUKsteSQ,Burkina Faso,Centre Ouest,Sanguié,DS Tenado
iZFsu9R3xjb,Burkina Faso,Hauts Bassins,Tuy,DS Hounde
IzLg0qo0azh,Burkina Faso,Centre Ouest,Boulkiemdé,DS Sabou
IzshzpLzTyR,Burkina Faso,Centre Sud,Nahouri,DS Po
IZWHzsumuYa,Burkina Faso,Centre Ouest,Sissili,DS Léo
j02Gg66ashL,Burkina Faso,Centre Est,Kouritenga,DS Koupéla
j0FLq6cT2f5,Burkina Faso,Centre Ouest,Sissili,DS Léo
j0LYwW2CGJF,Burkina Faso,Centre Sud,Nahouri,DS Po
j0U6ZlvBbOd,Burkina Faso,Hauts Bassins,Houet,DS Dafra
J1ADHotG45Z,Burkina Faso,Centre Est,Boulgou,DS Bittou
j1c5KIvBAaP,Burkina Faso,Centre Nord,Sanmatenga,DS Kaya
J1D8UmFKXR6,Burkina Faso,Centre Nord,Namentenga,DS Tougouri
j1gOG7g5g2L,Burkina Faso,Centre Sud,Nahouri,DS Po
j1mT9ZzY4sJ,Burkina Faso,Plateau Central,Oubritenga,DS Ziniaré
j2BIp7Mpe7e,Burkina Faso,Centre,Kadiogo,DS Bogodogo
j2cwMy5jhJ6,Burkina Faso,Sahel,Seno,DS Dori
J2xRB2feDsL,Burkina Faso,Cascades,Leraba,DS Sindou
J3aEroR2idp,Burkina Faso,Centre,Kadiogo,DS Baskuy
J3aq3HCPXih,Burkina Faso,Est,Tapoa,DS Diapaga
J3eID4B0SRp,Burkina Faso,Hauts Bassins,Tuy,DS Hounde
j4j4GKGcM87,Burkina Faso,Sud Ouest,Noumbiel,DS Batié
J5Dttjxr1SC,Burkina Faso,Nord,Yatenga,DS Ouahigouya
J5EZ7WLYciq,Burkina Faso,Centre Ouest,Sanguié,DS Tenado
j5kh36IS6C9,Burkina Faso,Sud Ouest,Poni,DS Gaoua
J5kXH5O2TP0,Burkina Faso,Centre,Kadiogo,DS Nongr-Massom
j6lQgleK9tl,Burkina Faso,Nord,Yatenga,DS Ouahigouya
J6rXHgMFfFR,Burkina Faso,Nord,Yatenga,DS Ouahigouya
j719z0Nz5l3,Burkina Faso,Boucle du Mouhoun,Banwa,DS Solenzo
j7gkgCGV1Re,Burkina Faso,Est,Tapoa,DS Diapaga
J7o13ijwBrM,Burkina Faso,Centre Nord,Sanmatenga,DS Kaya
J7o2JEvabhy,Burkina Faso,Centre,Kadiogo,DS Bogodogo
j7rIx6RV7PY,Burkina Faso,Centre Est,Boulgou,DS Tenkodogo
J7yRdk4dUsh,Burkina Faso,Centre,Kadiogo,DS Sig-Noghin
j8OTmZHv1NA,Burkina Faso,Centre,Kadiogo,DS Baskuy
j8s5EWsdJoe,Burkina Faso,Centre Ouest,Sanguié,DS Réo
j8uc2L8ZmAX,Burkina Faso,Sud Ouest,Poni,DS Gaoua
J97pD5VOWvK,Burkina Faso,Sahel,Yagha,DS Sebba
j9bSSz19igU,Burkina Faso,Centre Ouest,Boulkiemdé,DS Nanoro
jA02jWH66lf,Burkina Faso,Centre Ouest,Sissili,DS Léo
jAgItqexaOC,Burkina Faso,Est,Gourma,DS Fada
jB476CPCG2A,Burkina Faso,Boucle du Mouhoun,Mouhoun,DS Dedougou
Jb8wrdXZoJA,Burkina Faso,Centre Nord,Bam,DS Kongoussi
jC5GTSx2zww,Burkina Faso,Hauts Bassins,Kenedougou,DS Orodara
jcjxPN1C1ao,Burkina Faso,Est,Gnagna,DS Bogande
JCl6CHj63Q2,Burkina Faso,Est,Tapoa,DS Diapaga
jCQclgM9mG8,Burkina Faso,Sud Ouest,Ioba,DS Dano
jdamE0918pj,Burkina Faso,Boucle du Mouhoun,Sourou,DS Tougan
JdKmBMGfBAK,Burkina Faso,Sahel,Oudalan,DS Gorom-Gorom
jEbg0VUG1R1,Burkina Faso,Plateau Central,Ganzourgou,DS Zorgho
JEIjKQvylux,Burkina Faso,Centre,Kadiogo,DS Baskuy
jeMU9ReCzF3,Burkina Faso,Sahel,Soum,DS Djibo
JEnRQ7Ags6i,Burkina Faso,Hauts Bassins,Houet,DS Do
JeTb7xslDiC,Burkina Faso,Centre Ouest,Sanguié,DS Tenado
JFhECqXD7cB,Burkina Faso,Nord,Passoré,DS Yako
JFI9PO1pN4W,Burkina Faso,Plateau Central,Oubritenga,DS Ziniaré
jfNMo3ha4dx,Burkina Faso,Boucle du Mouhoun,Nayala,DS Toma
JfOcxeKQv1v,Burkina Faso,Centre Sud,Bazega,DS Kombissiri
JFY0TbG3Ood,Burkina Faso,Cascades,Comoé,DS Banfora
jg4FshApMOF,Burkina Faso,Sahel,Soum,DS Djibo
jga9ZCWnHzm,Burkina Faso,Centre Sud,Nahouri,DS Po
JGJaicuHHAo,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
JgKhu4cNkBa,Burkina Faso,Centre Nord,Bam,DS Kongoussi
jhk6h7oI5wh,Burkina Faso,Nord,Yatenga,DS Séguénéga
Jhohk79F2Cm,Burkina Faso,Hauts Bassins,Tuy,DS Hounde
JHpaTUyRPcr,Burkina Faso,Centre,Kadiogo,DS Bogodogo
JHuBL6aDLjD,Burkina Faso,Boucle du Mouhoun,Bale,DS Boromo
jhvHcFMbF2W,Burkina Faso,Centre Ouest,Sissili,DS Léo
JHVRhQxyl4I,Burkina Faso,Plateau Central,Kourweogo,DS Boussé
jHwjmh9cBeK,Burkina Faso,Sud Ouest,Poni,DS Kampti
JI75FRZaeXH,Burkina Faso,Centre Est,Boulgou,DS Tenkodogo
JI8ypU5uc1c,Burkina Faso,Centre Nord,Bam,DS Kongoussi
jiJWh1X0kMJ,Burkina Faso,Nord,Yatenga,DS Ouahigouya
JIRMte6HlOT,Burkina Faso,Sahel,Soum,DS Djibo
jISGdGgVBpN,Burkina Faso,Centre Est,Kouritenga,DS Pouytenga
JixCdykQD30,Burkina Faso,Centre,Kadiogo,DS Baskuy
jIZBgRMkuj0,Burkina Faso,Centre,Kadiogo,DS Sig-Noghin
JiZKvR5v1Cg,Burkina Faso,Hauts Bassins,Houet,DS Dafra
jj23Ds0Gi63,Burkina Faso,Centre Est,Koulpélogo,DS Ouargaye
JjENg60Iq4V,Burkina Faso,Boucle du Mouhoun,Banwa,DS Solenzo
jJRnf2fouv3,Burkina Faso,Centre,Kadiogo,DS Nongr-Massom
jjxBW5hdtGB,Burkina Faso,Boucle du Mouhoun,Bale,DS Boromo
JJXxuRH5ILm,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
jjyI7BIYLuF,Burkina Faso,Boucle du Mouhoun,Kossi,DS Nouna
jkCOqBF2DIe,Burkina Faso,Sahel,Yagha,DS Sebba
jKgm0zwc5xp,Burkina Faso,Nord,Yatenga,DS Thiou
jkM6yaqOQUg,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
JKwEJ9TEUST,Burkina Faso,Boucle du Mouhoun,Kossi,DS Nouna
JLOYirT5NkT,Burkina Faso,Centre,Kadiogo,DS Sig-Noghin
JLqElLY3xic,Burkina Faso,Centre,Kadiogo,DS Bogodogo
jlTe3l6Y6Xh,Burkina Faso,Est,Gourma,DS Fada
jLUC7wSeHhl,Burkina Faso,Hauts Bassins,Houet,DS Dande
JMeR7kuK40E,Burkina Faso,Centre Ouest,Boulkiemdé,DS Koudougou
jMSpVachWM1,Burkina Faso,Sahel,Oudalan,DS Gorom-Gorom
jmv7XkWuoXv,Burkina Faso,Centre Sud,Nahouri,DS Po
